exp_id,test_id,exp_date,start_time,end_time,sf6_rate,building_type,scenario,note,test_type,receptor_door
18,14,24-May-23,09:00pm,09:30pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 3 living room, which is the receptor room. The SF6 dosed to level 2 living room by a tube connected to the flow controlling parts. The flow meter in the living room was found to be leaking. The gas flow was stopped but the INNOVA system was continuously monitoring during trouble shooting. After fixing the leakage, the door of the receptor room was opened to reduce the SF6 concentration.",ACH,closed
19,15,25-May-23,11:39am,06:22pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed; Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:39am. The gas was finished at 6:30pm, and new tank was replaced immediately. The SF6 was re-dosed at 6:40pm.",Test,closed
20,15,25-May-23,06:40pm,09:08pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed; Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:39am. The gas was finished at 6:30pm, and new tank was replaced immediately. The SF6 was re-dosed at 6:40pm.",Test,closed
21,15,25-May-23,09:08pm,09:30pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door closed; Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:45am. The gas was finished at 6:30pm, and new tank was replaced immediately. The SF6 was re-dosed at 6:40pm.",ACH,closed
22,16,5-Jun-23,11:25am,09:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed; Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:25am.",Test,closed
23,17A,7-Jun-23,11:55am,02:45pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:55am. The gas was found to be finished at about 3:15pm and the flow meter showed 0.000L/min. SF6 measurement was continued to check the decay rate. New gas cylinder was replaced at 4:00pm and dose at 4:20pm.",Test,closed
24,17A,7-Jun-23,03:00pm,04:20pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:55am. The gas was found to be finished at about 3:15pm and the flow meter showed 0.000L/min. SF6 measurement was continued to check the decay rate. New gas cylinder was replaced at 4:00pm and dose at 4:20pm.",ACH,closed
25,17B,7-Jun-23,04:20pm,09:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:55am. The gas was found to be finished at about 3:15pm and the flow meter showed 0.000L/min. SF6 measurement was continued to check the decay rate. New gas cylinder was replaced at 4:00pm and dose at 4:20pm.",Test,closed
26,17B,7-Jun-23,09:00pm,09:30pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door closed;  Flash fa?ade, Night time, Door closed (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:55am. The gas was found to be finished at about 3:15pm and the flow meter showed 0.000L/min. SF6 measurement was continued to check the decay rate. New gas cylinder was replaced at 4:00pm and dose at 4:20pm.",ACH,closed
27,18,8-Jun-23,11:50am,03:15pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:50am. The dose was stopped at 03:15pm and resumed at 04:00pm",Test,open
28,18,8-Jun-23,03:15pm,04:00pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:50am. The dose was stopped at 03:15pm and resumed at 04:00pm",ACH,open
29,18,8-Jun-23,04:00pm,09:06pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:50am. The dose was stopped at 03:15pm and resumed at 04:00pm",Test,open
30,18,8-Jun-23,09:06pm,09:30pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:50am. The dose was stopped at 03:15pm and resumed at 04:00pm",ACH,open
31,19,26-Jun-23,11:41am,01:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:41am and was finished at about 01:00pm. The gas tank was replaced and the test was resumed at about 01:50pm.",Test,open
32,19,26-Jun-23,01:00pm,01:50pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:41am and was finished at about 01:00pm. The gas tank was replaced and the test was resumed at about 01:50pm.",ACH,open
33,19,26-Jun-23,01:50pm,09:00pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:41am and was finished at about 01:00pm. The gas tank was replaced and the test was resumed at about 01:50pm.",Test,open
34,19,26-Jun-23,09:00pm,09:30pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 11:41am and was finished at about 01:00pm. The gas tank was replaced and the test was resumed at about 01:50pm.",ACH,open
35,20,27-Jun-23,12:49pm,08:40pm,1.5,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 12:30am.",Test,open
36,20,27-Jun-23,08:40pm,09:40pm,0,Flash fa?ade,"Flash fa?ade, Day time, Door open;  Flash fa?ade, Night time, Door open (both bedroom windows closed)","The gas tank was located at the level 2 living room, which is the source room. The gas was dosed at 12:30am.",ACH,open
37,21,1-Aug-23,12:10pm,09:30pm,1.5,L-shape,"L-Shape, Night time, Door closed",,Test,closed
38,22,4-Aug-23,12:05pm,09:30pm,1.5,L-shape,"L-Shape, Night time, Door closed","The wind sensors (H12, V10) at living room were switched on at about 01:45pm. The gas pressure was dropped and finished at 07:25pm. INNOVA system was continuously measuring the ACH till 08:00pm.",Test,closed
39,23,14-Aug-23,11:57am,09:30pm,1.5,L-shape,"L-Shape, Night time, Door closed",It was raining at about 3:00pm. The tubing downstairs at Channel 05 was taken back at 3:05pm and placed at source room window (equivalent to Channel 02). The SF6 gas was turned off at 3:30pm and turned on at 4:36pm. The tubing of Channel 05 was put back downstairs at 6:05pm. The INNOVA system was continuously monitoring.,Test,closed
40,24,23-Aug-23,12:05pm,09:00pm,1.5,L-shape,"L-Shape, Night time, Door closed","The SF6 gas was turned off at 03:30pm, and INNOVA system was continuously monitoring the SF6 concentration to measure the air change rate. The SF6 gas was turned on at 04:51pm. ",Test,open
41,25,24-Aug-23,12:05pm,09:00pm,1.5,L-shape,"L-Shape, Night time, Door closed","The SF6 gas was turned off at 03:51pm, and INNOVA system was continuously monitoring the SF6 concentration to measure the air change rate. The SF6 gas was turned on at 04:48pm. ",Test,open
42,26,30-Aug-23,12:08pm,08:20pm,1.5,L-shape,"L-Shape, Day time, Door open;        L-Shape, Night time, Door open","The SF6 gas was turned off at 03:30pm, and INNOVA system was continuously monitoring the SF6 concentration to measure the air change rate. The SF6 gas was turned on at 05:00pm. The gas was finished at 08:20pm, SF6 concentration decay was continuously measured till 09:00pm.",Test,open
42,27,31-Aug-23,12:00pm,09:00pm,1.5,L-shape,"L-Shape, Day time, Door close;        L-Shape, Night time, Door close","The SF6 gas was dosed at Level 3 bedroom as source, and level 2 bedroom was the receptor. The wind sensors at flash façade were set up at Level 3 living room. The SF6 gas was stopped at 03:30pm, and INNOVA system was continuously monitoring the SF6 concentration to measure the air change rate. The SF6 gas was turned on at 05:00pm. ",Test,closed
43,28,5-Sep-23,12:00pm,09:00pm,1.5,L-shape,"L-Shape, Day time, Door close;        L-Shape, Night time, Door close                  ","It was raining from 02:20pm to 02:40pm. The sampling tube of Channel 5 was disconnected at 02:25pm and resumed at 02:45pm, and the monitored data of Channel 5 represented the data of the room aside the source (Channel 6) during 02:20pm to 02:45pm. The SF6 gas was stopped at 03:30pm, and INNOVA system was continuously monitoring the SF6 concentration to measure the air change rate. The SF6 gas was turned on at 05:00pm. ",Test,closed
44,29,19-Sep-23,12:00pm,09:00pm,1.5,L-shape,"L-Shape, Night time, Door close",An additional set of wind sensors (H: 04; V:06) was set up in Level 3 living room.  The SF6 gas was dosed at 05:05pm. It was raining during 05:20pm to 05:40pm.,Test,closed
45,30,22-Sep-23,11:55am,03:30pm,1.5,L-shape,"L-Shape, Night time, Door close",An additional set of wind sensors (H: 04; V:06) was set up in Level 3 living room.  The SF6 gas was dosed at 11:55am.,Test,closed
45,31,26-Sep-23,05:00pm,09:00pm,1.5,L-shape,"L-Shape, Night time, Door close",An additional set of wind sensors (H: 04; V:06) was set up in Level 3 living room.  The SF6 gas was dosed at 05:00pm,Test,open
45,32,5-Oct-23,12:00pm,03:00pm,1.5,L-shape,"L-Shape, Night time, Door close",An additional set of wind sensors (H: 04; V:06) was set up in Level 3 living room.  The SF6 gas was dosed at 12:00pm.,Test,open
